team,stadium
Arsenal,Emirates Stadium
Aston Villa,Villa Park
Bournemouth,Vitality Stadium
Brentford,Gtech Community Stadium
Brighton & Hove Albion,Amex Stadium
Burnley,Turf Moor
Chelsea,Stamford Bridge
Crystal Palace,Selhurst Park
Everton,Goodison Park
Fulham,Craven Cottage
Liverpool,Anfield
Luton Town,Kenilworth Road
Manchester City,Etihad Stadium
Manchester United,Old Trafford
Newcastle United,St. James' Park
Nottingham Forest,The City Ground
Sheffield United,Bramall Lane
Tottenham Hotspur,Tottenham Hotspur Stadium
West Ham United,London Stadium
Wolverhampton Wanderers,Molineux Stadium
